Area,Daparture total distance,Daparture total duration,Return total distance,Return total duration
Keskinen suurpiiri,104279618,47450970,102684826,42332580
Eteläinen suurpiiri,92207816,42256488,92069124,40817324
Suur-Tapiola,38479960,16185698,37166978,18608016
Suur-Matinkylä,19461214,8629484,20733864,8672340
Kaakkoinen suurpiiri,34555942,16779968,34889308,17698430
Läntinen suurpiiri,90603834,42591770,91433430,42521470
Pohjoinen suurpiiri,7711432,2601520,7506096,3073046
Itäinen suurpiiri,13401574,6540782,14230494,8797546
Koillinen suurpiiri,10846978,5014294,10606944,4505990
Suur-Leppävaara,19369088,8184032,19596392,9208264
